doc,aid,journal,year,authors,title
4672,10.2307/2172310,Population Studies,1950,Henri Bunle,The Cultural Assimilation of Immigrants
4673,10.2307/3115226,Population and Development Review,2003,Charles Hirschman,Cultural and Socioeconomic Influences on Divorce during Modernization: Southeast Asia_ 1940s to 1960s
4674,10.2307/30053106,Demography,2007,Yinon Cohen,Self-Selection and Earnings Assimilation: Immigrants from the Former Soviet Union in Israel and the United States
4675,10.2307/2174664,Population Studies,1981,M. Bracher,Some Methodological Considerations in the Analysis of Current Status Data
4676,10.2307/2174526,Population Studies,1988,Charles A. Calhoun,Childbearing and Wives' Foregone Earnings
4677,10.2307/1972926,Population and Development Review,1980,James T. Fawcett,Singapore: Rapid Fertility Transition in a Compact Society
4678,10.2307/30053113,Demography,2007,Barbara Entwisle,Putting People into Place
4679,10.2307/2060428,Demography,1976,W. Whitney Hicks,Comment on W. Whitney Hicks' "Economic Development and Fertility Change in Mexico_ 1950-1970": Reply
4680,10.2307/2175058,Population Studies,1991,Maurice Kirk,The Problem of Fertility 1936-1986
4681,10.2307/2174761,Population Studies,1992,Jane Mauldon,Children's Risks of Experiencing Divorce and Remarriage: Do Disabled Children Destabilize Marriages?
4682,10.2307/3115262,Population and Development Review,2001,Dirk J. van de Kaa,Postmodern Fertility Preferences: From Changing Value Orientation to New Behavior
4683,10.2307/2648097,Demography,2000,Christine L. Himes,Obesity_ Disease_ and Functional Limitation in Later Life
4684,10.2307/2061616,Demography,1986,Barbara Entwisle,The Multilevel Dependence of Contraceptive Use on Socioeconomic Development and Family Planning Program Strength
4685,10.2307/2061003,Demography,1981,Gary D. Sandefur,A Dynamic Analysis of Migration: An Assessment of the Effects of Age_ Family and Career Variables
4686,10.2307/2173424,Population Studies,1975,William F. Stinner,Government Policy and Personal Family Planning Approval in Conflict Settings: The Case of the Muslim Minority in the Southern Philippines
4687,10.2307/2808091,Population and Development Review,1988,William Petersen,Marxism and the Population Question: Theory and Practice
4688,10.2307/2061132,Demography,1982,Thomas J. Espenshade,Immigration and the Stable Population Model
4689,10.2307/25699060,Population and Development Review,2010,Wolfgang Lutz,Demography_ Education_ and Democracy: Global Trends and the Case of Iran
4690,10.2307/2060729,Demography,1975,Eui Hang Shin,Black-White Differentials in Infant Mortality in the South_ 1940-1970
4691,10.2307/2061527,Demography,1989,Mary O'Malley Borg,The Income--Fertility Relationship: Effect of the Net Price of a Child
4692,10.2307/2061238,Demography,1983,Esther C. Shroeder,Improving the Accuracy of Migration Age Detail in Multiple-Area Population Forecasts
4693,10.2307/2060945,Demography,1981,Susan G. Janssen,Religion_ Socialization_ and Fertility
4694,10.2307/2061243,Demography,1983,James C. Frauenthal,Limit Cycle Oscillations of the Human Population
4695,10.2307/1972852,Population and Development Review,1990,Margaret Thatcher,Margaret Thatcher on Shaping a New Global Community
4696,10.2307/3038305,Demography,1997,Daniel A. Powers,Sibling Models of Socioeconomic Effects on the Timing of First Premarital Birth
4697,10.2307/1971978,Population and Development Review,1979,[Wu Ta-k'un],A 1960 Chinese Marxist Critique of Neo-Malthusian Theory
4698,10.2307/1971534,Population and Development Review,1976,Robert Cassen,New Population Projections for India
4699,10.2307/2137380,Population and Development Review,1997,John C. Caldwell,The Global Fertility Transition: The Need for a Unifying Theory
4700,10.2307/2173889,Population Studies,1979,M. Vlassoff,Labour Demand and Economic Utility of Children: A Case Study in Rural India
4701,10.2307/2174736,Population Studies,1993,Neil Thomas,Economic Security_ Culture and Fertility: A Reply to Cleland
4702,10.2307/2172429,Population Studies,1952,Jerzy Berent,Fertility and Social Mobility
4703,10.2307/2060474,Demography,1974,Frank D. Bean,Ethnic Variations in the Relationship between Income and Fertility
4704,10.2307/2060311,Demography,1967,Robert C. Atchley,A Size-Function Typology of Cities
4705,10.2307/2060831,Demography,1975,Glenn V. Fuguitt,Residential Preferences and Population Distribution
4706,10.2307/2695187,Population and Development Review,2001,William Lavely,First Impressions from the 2000 Census of China
4707,10.2307/2173726,Population Studies,1978,Thomas McKeown,Fertility_ Mortality and Causes of Death: An Examination of Issues Related to the Modern Rise of Population
4708,10.2307/2060363,Demography,1967,H. Yuan Tien,Mobility_ Non-Familial Activity_ and Fertility
4709,10.2307/4148227,Population Studies,2004,Francesco C. Billari,Patterns of Low and Lowest-Low Fertility in Europe
4710,10.2307/2061807,Demography,1993,Eileen M. Crimmins,Demography: The Past 30 Years_ the Present_ and the Future
4711,10.2307/2061630,Demography,1987,Franklin D. Wilson,Metropolitan and Nonmetropolitan Migration Streams: 1935-1980
4712,10.2307/2174199,Population Studies,1982,P. C. Smith,The Components of Population Change in Nineteenth-Century South-East Asia: Village Data from the Philippines
4713,10.2307/1972831,Population and Development Review,1990,Norman B. Ryder,What Is Going to Happen to American Fertility?
4714,10.2307/2060993,Demography,1985,William H. James,Black and White Birth Weights
4715,10.2307/2174962,Population Studies,1994,Katherine A. Lynch,Risk Factors for Infant Mortality in Nineteenth-Century Sweden
4716,10.2307/2648125,Demography,2000,Lynne M. Casper,How Does POSSLQ Measure up? Historical Estimates of Cohabitation
4717,10.2307/2061528,Demography,1989,Mark C. Berger,Demographic Cycles_ Cohort Size_ and Earnings
4718,10.2307/2060178,Demography,1966,Andrei Rogers,The Multiregional Matrix Growth Operator and the Stable Interregional Age Structure
4719,10.2307/2061057,Demography,1980,J. Gregory Robinson,Estimating the Approximate Size of the Illegal Alien Population in the United States by the Comparative Trend Analysis of Age-Specific Death Rates
4720,10.2307/2060954,Demography,1981,Noreen Goldman,Dissolution of First Unions in Colombia_ Panama_ and Peru
4721,10.2307/2060717,Demography,1975,Dieter Wermuth,Some Determinants of the Migration of Professional Manpower
4722,10.2307/2061714,Demography,1996,William G. Axinn,The Influence of Parents' Marital Dissolutions on Children's Attitudes Toward Family Formation
4723,10.2307/2173083,Population Studies,1971,D. Wolfers,Contraceptive Overlap with Post-partum Anovularity
4724,10.2307/2938439,Population and Development Review,1993,Marshall Green,The Evolution of US International Population Policy_ 1965-92: A Chronological Account
4725,10.2307/2060736,Demography,1975,Rosemary Santana Cooney,Female Professional Work Opportunities: A Cross-National Study
4726,10.2307/2061773,Demography,1996,Douglas S. Massey,The Age of Extremes: Concentrated Affluence and Poverty in the Twenty-First Century
4727,10.2307/1972954,Population and Development Review,1980,Hua Guofeng,Hua Guofeng on the Promotion of Family Planning in China
4728,10.2307/25434764,Population and Development Review,2008,Vegard Skirbekk,Age and Productivity Potential: A New Approach Based on Ability Levels and Industry-Wide Task Demand
4729,10.2307/2172983,Population Studies,1966,Robert G. Potter_ Jr.,Parameters of the Menstrual Cycle: A Reply
4730,10.2307/2060608,Demography,1971,Andrei Rogers,Estimation of Interregional Migration Streams from Place-of-Birth-by-Residence Data
4731,10.2307/2173002,Population Studies,1968,Tomas Frejka,Reflections on the Demographic Conditions needed to Establish a U.S. Stationary Population Growth
4732,10.2307/25434683,Population and Development Review,2008,Ray Langsten,Two Approaches to Measuring Women's Work in Developing Countries: A Comparison of Survey Data from Egypt
4733,10.2307/2060224,Demography,1968,Donald E. Starsinic,Accuracy of the Housing Unit Method in Preparing Population Estimates for Cities
4734,10.2307/2060956,Demography,1981,Michael Grossman,Variations in Infant Mortality Rates among Counties of the United States: The Roles of Public Policies and Programs
4735,10.2307/2175157,Population Studies,1995,John R. Wilmoth,Are Mortality Rates Falling at Extremely High Ages: An Investigation Based on a Model Proposed by Coale and Kisker
4736,10.2307/25749161,Population Studies,2010,Matthijs Kalmijn,Poverty and union formation among never-married single mothers in the Netherlands_ 1989–2005
4737,10.2307/3092926,Population Studies,2001,Yinon Cohen,Self-Selection and Return Migration: Israeli-Born Jews Returning Home from the United States during the 1980s
4738,10.2307/2173564,Population Studies,1978,Roderic P. Beaujot,Socio-Cultural Variations in the Applicability of the Economic Model of Fertility
4739,10.2307/2172397,Population Studies,1970,,Introduction
4740,10.2307/2173917,Population Studies,1977,Ph. Van Praag,Views and Concepts Relating to Population Problems in the Netherlands 1918- 1939
4741,10.2307/25475982,Demography,2008,Marcia J. Carlson,Coparenting and Nonresident Fathers' Involvement with Young Children after a Nonmarital Birth
4742,10.2307/2060937,Demography,1979,John McDonald,A Time Series Approach to Forecasting Australian Total Live-Births
4743,10.2307/2174550,Population Studies,1986,Alberto Palloni,Effects of Inter-Birth Intervals and Breastfeeding on Infant and Early Childhood Mortality
4744,10.2307/2172100,Population Studies,1957,D. E. C. Eversley,A Survey of Population in an Area of Worcestershire from 1660-1850 on the Basis of Parish Records
4745,10.2307/2061232,Demography,1983,Barbara Devaney,An Analysis of Variations in U. S. Fertility and Female Labor Force Participation Trends
4746,10.2307/3038295,Demography,1997,John Iceland,Urban Labor Markets and Individual Transitions Out of Poverty
4747,10.2307/1973169,Population and Development Review,1984,William Petty,Sir William Petty on the Causes and Consequences of Urban Growth
4748,10.2307/2173661,Population Studies,1976,Ajit Das Gupta,Population Estimates for Bangladesh: The Use of a Specific Transitional Population Model
4749,10.2307/2137570,Population and Development Review,1997,Dennis Hodgson,Feminists and Neo-Malthusians: Past and Present Alliances
4750,10.2307/1971690,Population and Development Review,1977,[John D. Rockefeller],On the Origins of the Population Council
4751,10.2307/2061763,Demography,1996,Kenneth J. Meier,The Impact of State-Level Restrictions on Abortion
4752,10.2307/1972991,Population and Development Review,1982,Robert J. McIntyre,On Demographic Policy Debates in the USSR
4753,10.2307/2060385,Demography,1969,Mortimer Spiegelman,Segmented Generation Mortality
4754,10.2307/2172726,Population Studies,1962,Y. L. Lee,The Population of British Borneo
4755,10.2307/1973572,Population and Development Review,1988,Karen Hardee-Cleaveland,Fertility Policy and Implementation in China_ 1986-88
4756,10.2307/25476016,Demography,2009,Jo Anna Gray,Response to Ermisch_ Martin_ and Wu
4757,10.2307/2137521,Population and Development Review,1994,Valerie Kincade Oppenheimer,Women's Rising Employment and the Future of the Family in Industrial Societies
4758,10.2307/2173460,Population Studies,1973,S. M. Farid,On the Pattern of Cohort Fertility
4759,10.2307/2174583,Population Studies,1986,Larry L. Bumpass,Determinants of Korean Birth Intervals: The Confrontation of Theory and Data
4760,10.2307/2061375,Demography,1990,Douglas L. Anderton,Demographic Seasonality and Development: The Effects of Agricultural Colonialism in Taiwan_ 1906-1942
4761,10.2307/2060038,Demography,1964,Majeed Khan,Population Control: A Two-Year Rural Action Experience
4762,10.2307/2174732,Population Studies,1993,Dov Friedlander,The Modern Shift to Below-Replacement Fertility: Has Israel's Population Joined the Process?
4763,10.2307/1515217,Demography,2004,Elizabeth Fussell,The Limits to Cumulative Causation: International Migration from Mexican Urban Areas
4764,10.2307/2137453,Population and Development Review,1996,,Chinese Government White Paper on Family Planning
4765,10.2307/2060842,Demography,1973,Karl E. Bauman,The Difference in Unwanted Births between Blacks and Whites
4766,10.2307/2172010,Population Studies,1960,Flann Campbell,Birth Control and the Christian Churches
4767,10.2307/25487672,Population and Development Review,2009,Monica Das Gupta,Evidence for an Incipient Decline in Numbers of Missing Girls in China and India
4768,10.2307/2173457,Population Studies,1973,D. I. Pool,Estimates of New Zealand Maori Vital Rates from the Mid-Nineteenth Century to World War I
4769,10.2307/2173076,Population Studies,1971,R. Lesthaeghe,Nuptiality and Population Growth
4770,10.2307/25475999,Demography,2008,Sherry Glied,Technological Innovation and Inequality in Health
4771,10.2307/2060490,Demography,1978,Lolagene C. Coombs,Husband-Wife Agreement About Reproductive Goals
4772,10.2307/2172452,Population Studies,1952,S. W. Caffin,Infantile Mortality Rates
4773,10.2307/2061450,Demography,1990,Lawrence L. Santi,Household Headship among Unmarried Persons in the United States_ 1970-1985
